ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
188,CQ,438,6/15/2016,M,1.981,After,9/23/2016,1930,NMP,2,5,24,1,0,1,0,0,1,Y
188,CQ,438,6/15/2016,M,1.981,Before,9/23/2016,1415,NMP,2,2,18,2,0,2,1,1,1,Y
189,CQ,431,6/1/2016,M,1.79,After,9/26/2016,1545,NMP,0,1,2,0,0,1,0,0,0,N
189,CQ,431,6/1/2016,M,1.79,Before,9/26/2016,1305,NMP,0,0,1,0,0,1,0,0,0,N
190,CQ,426,5/31/2016,M,1.582,After,9/26/2016,1545,NMP,0,0,4,0,0,1,0,0,0,N
190,CQ,426,5/31/2016,M,1.582,Before,9/26/2016,1250,NMP,0,0,3,0,0,1,0,0,0,N
191,CQ,414,6/17/2016,M,1.729,After,9/26/2016,1545,NMP,2,9,7,0,0,1,4,0,0,N
191,CQ,414,6/17/2016,M,1.729,Before,9/26/2016,1250,NMP,0,1,20,0,0,2,0,0,0,N
192,CQ,404,6/18/2016,M,1.611,After,9/26/2016,1545,NMP,0,0,0,0,0,0,0,0,0,N
192,CQ,404,6/18/2016,M,1.611,Before,9/26/2016,1305,NMP,0,0,0,0,0,0,0,0,0,N
193,CQ,426,5/31/2016,M,1.589,After,9/26/2016,1535,NMP,0,0,3,0,0,1,0,0,0,N
193,CQ,426,5/31/2016,M,1.589,Before,9/26/2016,1250,NMP,0,0,7,1,0,1,0,0,0,N
194,CQ,431,6/1/2016,M,1.892,After,9/26/2016,1535,NMP,0,0,0,0,0,1,0,0,0,N
194,CQ,431,6/1/2016,M,1.892,Before,9/26/2016,1305,NMP,0,0,1,2,0,2,0,0,0,N
195,CQ,426,5/31/2016,M,1.644,After,9/26/2016,1535,NMP,0,0,4,0,0,1,0,0,0,N
195,CQ,426,5/31/2016,M,1.644,Before,9/26/2016,1305,NMP,1,5,15,4,0,1,2,2,0,N
196,CQ,414,6/17/2016,M,1.699,After,9/26/2016,1515,NMP,2,1,14,0,0,1,0,0,0,N
196,CQ,414,6/17/2016,M,1.699,Before,9/26/2016,1320,NMP,1,6,9,0,0,1,1,0,1,Y
197,CQ,426,5/31/2016,M,1.664,After,9/26/2016,1515,NMP,0,0,2,0,0,1,0,0,0,N
197,CQ,426,5/31/2016,M,1.664,Before,9/26/2016,1320,NMP,0,0,0,0,0,1,0,0,0,N
198,CQ,416,6/18/2016,M,1.858,After,9/26/2016,1515,NMP,0,0,8,0,0,1,0,0,0,N
198,CQ,416,6/18/2016,M,1.858,Before,9/26/2016,1320,NMP,1,1,14,0,0,3,0,0,0,N
199,CQ,404,6/18/2016,M,1.653,After,9/26/2016,1515,NMP,0,0,4,0,0,1,0,0,0,N
199,CQ,404,6/18/2016,M,1.653,Before,9/26/2016,1320,NMP,2,0,4,0,0,4,0,0,0,N
200,CQ,416,6/18/2016,M,1.926,After,9/26/2016,1535,NMP,2,0,18,0,0,2,0,0,0,N
200,CQ,416,6/18/2016,M,1.926,Before,9/26/2016,1250,NMP,1,0,7,0,0,3,0,0,0,N
201,QC,401,6/15/2016,M,1.731,After,9/27/2016,1450,NMP,3,1,15,0,0,5,3,0,0,N
201,QC,401,6/15/2016,M,1.731,Before,9/27/2016,1250,NMP,1,14,31,10,0,2,6,1,0,N
202,CQ,430,4/21/2016,M,1.79,After,9/27/2016,1510,NMP,0,0,4,0,0,2,0,0,0,N
202,CQ,430,4/21/2016,M,1.79,Before,9/27/2016,1310,NMP,2,0,5,2,0,4,0,0,0,N
203,CQ,438,4/24/2016,M,1.674,After,9/27/2019,1525,NMP,0,0,1,0,0,1,0,0,0,N
203,CQ,438,4/24/2016,M,1.674,Before,9/27/2016,1310,NMP,0,0,0,0,0,0,0,0,0,N
204,CM,404,6/10/2016,M,1.663,After,9/27/2016,1510,NMP,1,0,4,0,0,2,0,0,0,N
204,CM,404,6/10/2016,M,1.663,Before,9/27/2016,1310,NMP,0,0,2,1,0,2,0,0,0,N
205,QH,404,6/6/2016,M,1.842,After,9/27/2019,1450,NMP,1,0,7,2,0,1,0,0,0,N
205,QH,404,6/6/2016,M,1.842,Before,9/27/2016,1250,NMP,5,11,30,9,0,5,8,0,0,N
206,QC,401,6/15/2016,M,1.99,Before,9/27/2016,1250,NMP,2,0,12,0,0,5,2,2,0,N
206,QC,401,6/15/2016,M,1.99,Before,9/27/2016,1450,NMP,0,0,0,0,0,1,0,0,0,N
207,CQ,430,4/21/2016,M,1.867,Before,9/27/2016,1410,NMP,0,0,0,0,0,1,0,0,0,N
208,CQ,435,4/24/2016,M,1.857,After,9/27/2016,1525,NMP,0,0,0,0,0,0,0,0,0,N
208,CQ,435,4/24/2016,M,1.857,Before,9/27/2016,1410,NMP,0,0,4,0,0,1,0,0,0,N
209,CM,404,6/10/2016,M,1.93,After,9/27/2016,1510,NMP,1,0,2,0,0,4,0,0,0,N
210,CQ,438,4/24/2016,M,1.959,After,9/27/2016,1525,NMP,1,2,28,1,0,1,6,1,0,N
210,CQ,438,4/24/2016,M,1.959,Before,9/27/2016,1410,NMP,3,3,26,1,0,1,5,0,0,N
211,QH,404,6/6/2016,M,1.791,After,9/27/2016,1450,NMP,4,2,19,0,0,4,6,1,0,N
211,QH,404,6/6/2016,M,1.791,Before,9/27/2016,1250,NMP,2,4,9,0,0,2,7,1,0,N
212,CQ,438,4/24/2016,M,1.811,After,9/28/2016,1230,NMP,0,0,0,0,0,1,0,0,0,N
212,CQ,438,4/24/2016,M,1.811,Before,9/27/2016,1410,NMP,2,2,15,0,0,5,1,0,0,N
213,CQ,405,6/6/2016,M,1.759,After,9/28/2016,1235,NMP,0,0,11,0,0,1,0,0,0,N
214,CQ,414,4/29/2016,M,1.696,After,9/28/2016,2050,NMP,2,6,16,0,0,0,0,0,0,N
214,CQ,414,4/29/2016,M,1.696,Before,9/28/2016,1230,NMP,1,6,19,0,0,1,3,3,0,N
215,CQ,431,6/12/2016,M,1.804,After,9/28/2016,1235,NMP,5,0,2,0,0,5,2,0,0,N
216,CQ,414,4/29/2016,M,1.695,After,9/28/2016,2050,NMP,1,0,12,0,0,1,1,0,0,N
216,CQ,414,4/29/2016,M,1.695,Before,9/28/2016,1230,NMP,3,0,1,0,0,3,0,0,0,N
217,CQ,405,6/6/2016,M,1.874,After,9/28/2016,1235,NMP,2,6,18,0,0,2,1,1,0,N
218,CQ,426,5/3/2016,M,1.643,After,9/28/2016,1235,NMP,5,19,32,14,0,4,12,1,0,N
219,CQ,414,4/29/2016,M,1.821,After,9/28/2016,2050,NMP,0,0,11,0,0,1,0,0,0,N
220,QH,401,4/27/2016,M,1.961,After,2/29/2016,1500,NMP,0,0,2,0,0,1,0,0,0,N
220,QH,401,4/27/2016,M,1.961,Before,9/29/2016,1250,NMP,1,0,1,0,0,2,0,0,0,N
221,QH,417,5/9/2016,M,1.713,After,9/29/2016,1500,NMP,0,0,0,0,0,0,0,0,0,N
221,QH,417,5/9/2016,M,1.713,Before,9/29/2016,1250,NMP,0,0,0,0,0,2,0,0,0,N
222,QC,434,5/24/2016,M,1.797,After,2/29/2016,1530,NMP,0,0,2,0,0,1,0,0,0,N
222,QC,434,5/24/2016,M,1.797,Before,2/29/2016,1300,NMP,0,0,0,0,0,0,0,0,0,N
223,QH,417,5/9/2016,M,1.793,After,9/29/2016,1500,NMP,0,0,0,0,0,1,0,0,0,N
223,QH,417,5/9/2016,M,1.793,Before,9/29/2016,1250,NMP,0,0,0,0,0,1,0,0,0,N
224,QC,404,5/10/2016,M,1.981,After,9/29/2016,1530,NMP,1,0,4,0,0,1,0,0,0,N
224,QC,404,5/10/2016,M,1.981,Before,2/29/2016,1330,NMP,0,0,8,0,0,1,0,0,0,N
225,CQ,431,4/27/2016,M,1.905,After,9/29/2016,1530,NMP,0,0,0,0,0,0,0,0,0,N
225,CQ,431,4/27/2016,M,1.905,Before,9/29/2016,1300,NMP,0,0,1,0,0,1,0,0,0,N
226,QC,404,5/10/2016,M,1.811,Before,9/29/2016,1330,NMP,2,0,2,1,0,3,0,0,0,N
227,QH,401,4/27/2016,M,1.993,After,9/29/2016,1500,NMP,0,0,1,0,0,1,0,0,0,N
227,QH,401,4/27/2016,M,1.993,Before,9/29/2016,1250,NMP,1,0,2,1,0,2,0,0,0,N
228,QC,404,5/10/2016,M,1.865,After,2/29/2016,1530,NMP,1,3,21,0,0,1,7,1,0,N
228,QC,404,5/10/2016,M,1.865,Before,9/29/2016,1330,NMP,3,17,10,0,0,0,4,0,0,N
229,CQ,431,4/28/2016,M,1.927,After,9/29/2016,1530,NMP,0,0,2,0,0,1,0,0,0,N
229,CQ,431,4/28/2016,M,1.927,Before,9/29/2016,1300,NMP,1,0,5,0,0,1,1,1,0,N
230,QC,404,5/10/2016,M,1.961,After,9/29/2016,1530,NMP,0,0,5,0,0,1,0,0,0,N
230,QC,404,5/10/2016,M,1.961,Before,9/29/2016,1330,NMP,2,0,5,1,0,2,0,0,0,N
231,CQ,404,4/26/2016,M,1.674,After,9/29/2016,1530,NMP,0,0,6,0,0,1,0,0,0,N
231,CQ,404,4/26/2016,M,1.674,Before,9/29/2016,1300,NMP,0,0,5,1,0,2,0,0,0,N
232,QC,419,5/11/2016,M,1.706,After,10/2/2016,1205,NMP,1,4,21,3,0,2,0,0,0,N
232,QC,419,5/11/2016,M,1.706,Before,10/1/2016,1410,NMP,1,2,18,9,0,0,1,1,0,N
233,QC,401,5/11/2016,M,1.991,After,10/2/2016,1145,NMP,1,2,19,0,0,2,0,0,0,N
233,QC,401,5/11/2016,M,1.991,Before,10/1/2016,1330,NMP,0,0,8,0,0,2,1,0,0,N
234,QC,419,5/11/2016,M,1.784,After,10/2/2016,1130,NMP,1,6,5,0,0,2,2,1,0,N
234,QC,419,5/11/2016,M,1.784,Before,10/1/2016,1420,NMP,0,0,0,4,0,3,0,0,0,N
235,QC,404,5/10/2016,M,1.814,After,10/2/2016,1205,NMP,3,28,26,0,0,2,1,1,0,N
235,QC,404,5/10/2016,M,1.814,Before,10/1/2016,1410,NMP,2,9,26,1,0,2,1,0,0,N
236,QC,401,5/11/2016,M,1.98,After,10/2/2016,1145,NMP,0,0,0,0,0,0,0,0,0,N
236,QC,401,5/11/2016,M,1.98,Before,10/1/2016,1330,NMP,0,0,7,0,0,1,0,0,0,N
237,QC,404,5/10/2016,M,1.632,After,10/2/2016,1205,NMP,1,0,12,2,0,4,0,0,0,N
