ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,Forced_Cop_Attempt,G_Swing,Ignore,Lunge,Nip,Sigmoid,Suc_Forced_Cop,Suc_Sigmoid_Cop,TTSigmoid,TTAvgSigmoid,Copulated
147,CQ,416,6/12/2016,M,1.785,After,9/20/2016,1545,NMP,0,0,0,0,0,0,0,0,0,0,0,N
148,QC,404,6/10/2016,M,1.783,Before,9/20/2016,1245,NMP,0,0,4,1,0,0,0,0,0,0,0,N
148,QC,404,6/10/2016,M,1.783,After,9/20/2016,1530,NMP,0,0,7,1,0,2,0,0,0,0,0,N
149,CQ,401,6/6/2016,M,1.769,Before,9/20/2016,1300,NMP,0,0,3,1,0,0,0,0,0,0,0,N
149,CQ,401,6/6/2016,M,1.769,After,9/20/2016,1545,NMP,0,0,8,1,0,0,0,0,0,0,0,N
150,CQ,416,6/12/2016,M,1.798,Before,9/20/2016,1300,NMP,1,0,2,2,0,0,0,0,0,0,0,N
150,CQ,416,6/12/2016,M,1.798,After,9/20/2016,1545,NMP,1,0,3,1,0,0,0,0,0,0,0,N
151,QC,404,6/10/2016,M,1.617,Before,9/20/2016,1245,NMP,0,0,4,1,0,0,0,0,0,0,0,N
151,QC,404,6/10/2016,M,1.617,After,9/20/2016,1530,NMP,0,0,11,1,0,0,0,0,0,0,0,N
152,CQ,401,6/6/2016,M,1.784,Before,9/20/2016,1315,NMP,0,0,20,1,0,0,0,0,0,0,0,N
152,CQ,401,6/6/2016,M,1.784,After,9/20/2016,1510,NMP,1,0,7,0,0,0,0,0,0,0,0,N
153,CQ,416,6/12/2016,M,1.895,Before,9/20/2016,1315,NMP,0,0,0,0,0,0,0,0,0,0,0,N
153,CQ,416,6/12/2016,M,1.895,After,9/20/2016,1510,NMP,0,0,5,1,0,0,0,0,0,0,0,N
154,QC,404,6/10/2016,M,1.831,Before,9/20/2016,1245,NMP,0,0,2,1,0,0,0,0,0,0,0,N
154,QC,404,6/10/2016,M,1.831,After,9/20/2016,1530,NMP,1,1,10,1,1,1,0,0,0,0,0,N
155,CQ,401,6/6/2016,M,1.662,Before,9/20/2016,1315,NMP,0,0,2,0,0,0,0,0,0,0,0,N
155,CQ,401,6/6/2016,M,1.662,After,9/20/2016,1510,NMP,0,0,5,1,0,0,0,0,0,0,0,N
156,CQ,416,6/12/2016,M,1.673,Before,9/20/2016,1315,NMP,0,0,9,1,0,0,0,0,0,0,0,N
157,QC,401,6/15/2016,M,1.896,Before,9/21/2016,1235,NMP,2,0,6,0,0,2,0,0,0,0,0,N
157,QC,401,6/15/2016,M,1.896,After,9/21/2016,1435,NMP,2,0,5,1,1,1,0,0,0,0,0,N
158,QC,401,6/15/2016,M,1.756,Before,9/21/2016,1235,NMP,1,2,3,1,3,0,0,0,0,0,0,N
158,QC,401,6/15/2016,M,1.756,After,9/21/2016,1435,NMP,0,0,11,1,0,0,0,0,0,0,0,N
159,CQ,430,6/17/2016,M,1.748,Before,9/21/2016,1235,NMP,1,2,18,0,0,1,0,0,0,0,0,N
159,CQ,430,6/17/2016,M,1.748,After,9/21/2016,1435,NMP,0,0,1,1,0,0,0,0,0,0,0,N
160,CM,420,6/6/2016,M,1.657,Before,9/21/2016,1235,NMP,0,0,4,0,0,0,0,0,0,0,0,N
160,CM,420,6/6/2016,M,1.657,After,9/21/2016,NA,NMP,0,1,1,2,0,0,0,0,0,0,0,N
161,CQ,430,6/17/2016,M,1.595,Before,9/21/2016,1245,NMP,1,0,8,2,0,0,0,0,0,0,0,N
161,CQ,430,6/17/2016,M,1.595,After,9/21/2016,1420,NMP,0,0,4,1,0,0,0,0,0,0,0,N
162,QC,401,6/15/2016,M,1.937,Before,9/21/2016,1245,NMP,1,0,9,2,0,0,2,0,0,2.377,1.1885,N
162,QC,401,6/15/2016,M,1.937,After,9/21/2016,1420,NMP,0,0,3,1,0,0,0,0,0,0,0,N
163,CM,420,6/6/2016,M,1.717,Before,9/21/2016,1245,NMP,0,0,0,0,0,0,0,0,0,0,0,N
163,CM,420,6/6/2016,M,1.717,After,9/21/2016,1420,NMP,0,0,1,0,0,0,0,0,0,0,0,N
164,CQ,430,6/17/2016,M,1.831,Before,9/21/2016,1245,NMP,1,6,21,0,1,4,9,0,0,14.872,1.652444444,N
164,CQ,430,6/17/2016,M,1.831,After,9/21/2016,1420,NMP,3,5,15,3,4,1,0,0,0,0,0,N
165,CQ,430,5/20/2016,M,1.628,Before,9/22/2016,1420,NMP,5,4,15,3,3,0,0,0,0,0,0,N
165,CQ,430,5/20/2016,M,1.628,After,9/22/2016,1745,NMP,5,3,16,5,1,0,0,0,0,0,0,N
166,QH,404,6/6/2016,M,1.896,Before,9/22/2016,1445,NMP,1,0,13,3,0,0,2,0,0,4.4,2.2,N
166,QH,404,6/6/2016,M,1.896,After,9/22/2016,1730,NMP,0,0,13,2,0,0,0,0,0,0,0,N
167,QC,401,4/21/2016,M,1.984,Before,9/22/2016,1420,NMP,0,0,4,1,0,0,0,0,0,0,0,N
167,QC,401,4/21/2016,M,1.984,After,9/22/2016,1745,NMP,0,0,18,1,0,0,0,0,0,0,0,N
168,QH,404,6/6/2016,M,1.728,Before,9/22/2016,1445,NMP,0,1,10,2,0,0,6,0,0,18.137,3.022833333,N
168,QH,404,6/6/2016,M,1.728,After,9/22/2016,1730,NMP,0,0,2,4,0,0,3,0,0,4.358,1.452666667,N
169,QC,411,6/15/2016,M,1.937,Before,9/22/2016,1400,NMP,2,1,3,2,0,0,0,0,0,0,0,N
169,QC,411,6/15/2016,M,1.937,After,9/22/2016,1745,NMP,0,0,1,1,1,0,0,0,0,0,0,N
170,QH,404,6/6/2016,M,2.025,Before,9/22/2016,1445,NMP,3,6,60,1,8,1,12,0,0,34.768,2.897333333,N
170,QH,404,6/6/2016,M,2.025,After,9/22/2016,1730,NMP,0,1,40,1,0,0,0,0,0,0,0,N
171,QC,401,4/21/2016,M,1.868,Before,9/22/2016,1420,NMP,0,0,7,2,1,0,0,0,0,0,0,N
171,QC,401,4/21/2016,M,1.868,After,9/22/2016,1800,NMP,0,0,0,1,0,0,0,0,0,0,0,N
172,QC,401,4/21/2016,M,1.727,Before,9/22/2016,1400,NMP,0,0,4,2,0,0,0,0,0,0,0,N
172,QC,401,4/21/2016,M,1.727,After,9/22/2016,1800,SNC,0,0,0,1,0,0,0,0,0,0,0,N
173,CQ,430,5/20/2016,M,1.733,Before,9/22/2016,1420,NMP,0,0,6,1,0,0,1,0,0,1.346,1.346,N
173,CQ,430,5/20/2016,M,1.733,After,9/22/2016,1745,NMP,0,0,8,1,0,0,0,0,0,0,0,N
174,QC,401,4/21/2016,M,1.747,After,9/22/2016,1800,NMP,0,0,5,0,0,0,0,0,0,0,0,N
174,QC,401,4/21/2016,M,1.747,After,9/22/2016,1800,SNC,2,0,7,3,0,0,3,0,0,24.142,8.047333333,N
175,QC,411,6/15/2016,M,1.769,Before,9/22/2016,1400,NMP,3,1,12,1,1,0,0,0,0,0,0,N
175,QC,411,6/15/2016,M,1.769,After,9/22/2016,1800,NMP,3,0,12,5,0,0,0,0,0,0,0,N
176,CM,404,6/10/2016,M,1.839,Before,9/22/2016,1445,NMP,5,0,10,5,0,0,0,0,0,0,0,N
176,CM,404,6/10/2016,M,1.839,After,9/22/2016,1730,NMP,2,3,16,3,2,1,0,0,0,0,0,N
177,CQ,414,6/17/2016,M,1.756,Before,9/23/2016,1430,NMP,0,0,19,1,0,0,0,0,0,0,0,N
177,CQ,414,6/17/2016,M,1.756,After,9/23/2016,1945,NMP,0,0,21,1,0,0,1,0,0,2.035,2.035,N
178,CQ,409,5/20/2016,M,1.784,Before,9/23/2016,1415,NMP,0,0,11,2,0,0,1,0,0,2,2,N
178,CQ,409,5/20/2016,M,1.784,After,9/23/2016,1945,NMP,0,0,3,1,0,0,0,0,0,0,0,N
